Producto,Categoría,Marca,Precio,Cantidad,Envío Gratis,Prestigio
Desmalezadora,Herramientas,Makita,$9.600,5,SI,****
Taladro,Herramientas,Black & Decker,$12.500,7,SI,****
Soldadora,Herramientas,Black & Decker,$7.215,10,SI,***
Zapatillas Deportivas,Deportes,Nike,$14.000,4,SI,*****
Zapatillas Deportivas,Deportes,Adidas,$13.650,6,SI,*****
Camiseta,Deportes,Topper,$2.300,2,NO,***
Redmi Note 9,Celulares,Xiaomi,$40.000,15,SI,****
Smartwatch,Celulares,Noga,$1.900,20,NO,**
Remera,Indumentaria,Taverniti,$2.300,2,NO,***
Chomba,Indumentaria,Taverniti,$2.400,6,NO,***
Medias,Indumentaria,Mistral,$500,8,NO,*
Short,Indumentaria,Lacoste,$3.900,9,SI,***